hospital,blood_type,forecast_date,forecast_units,critical_alert,days_ahead,model_mae,model_rmse
KNH,O+,2025-01-01,138.1,False,1,15.55,19.23
KNH,O+,2025-01-02,140.1,False,2,15.55,19.23
KNH,O+,2025-01-03,149.6,False,3,15.55,19.23
KNH,O+,2025-01-04,147.2,False,4,15.55,19.23
KNH,O+,2025-01-05,152.9,False,5,15.55,19.23
KNH,O+,2025-01-06,149.7,False,6,15.55,19.23
KNH,O+,2025-01-07,153.7,False,7,15.55,19.23
KNH,O-,2025-01-01,18.5,False,1,11.61,13.18
KNH,O-,2025-01-02,18.5,False,2,11.61,13.18
KNH,O-,2025-01-03,18.4,False,3,11.61,13.18
KNH,O-,2025-01-04,18.4,False,4,11.61,13.18
KNH,O-,2025-01-05,18.4,False,5,11.61,13.18
KNH,O-,2025-01-06,18.4,False,6,11.61,13.18
KNH,O-,2025-01-07,18.4,False,7,11.61,13.18
KNH,A+,2025-01-01,5.6,True,1,10.04,12.4
KNH,A+,2025-01-02,8.4,True,2,10.04,12.4
KNH,A+,2025-01-03,11.6,False,3,10.04,12.4
KNH,A+,2025-01-04,12.9,False,4,10.04,12.4
KNH,A+,2025-01-05,14.7,False,5,10.04,12.4
KNH,A+,2025-01-06,15.3,False,6,10.04,12.4
KNH,A+,2025-01-07,16.4,False,7,10.04,12.4
KNH,A-,2025-01-01,43.5,False,1,4.79,5.84
KNH,A-,2025-01-02,44.9,False,2,4.79,5.84
KNH,A-,2025-01-03,46.1,False,3,4.79,5.84
KNH,A-,2025-01-04,46.9,False,4,4.79,5.84
KNH,A-,2025-01-05,47.3,False,5,4.79,5.84
KNH,A-,2025-01-06,47.4,False,6,4.79,5.84
KNH,A-,2025-01-07,47.1,False,7,4.79,5.84
KNH,B+,2025-01-01,24.5,False,1,12.75,13.49
KNH,B+,2025-01-02,23.0,False,2,12.75,13.49
KNH,B+,2025-01-03,22.7,False,3,12.75,13.49
KNH,B+,2025-01-04,21.6,False,4,12.75,13.49
KNH,B+,2025-01-05,21.5,False,5,12.75,13.49
KNH,B+,2025-01-06,20.7,False,6,12.75,13.49
KNH,B+,2025-01-07,20.9,False,7,12.75,13.49
KNH,B-,2025-01-01,0.7,True,1,5.01,5.44
KNH,B-,2025-01-02,1.1,True,2,5.01,5.44
KNH,B-,2025-01-03,1.5,True,3,5.01,5.44
KNH,B-,2025-01-04,1.8,True,4,5.01,5.44
KNH,B-,2025-01-05,2.0,True,5,5.01,5.44
KNH,B-,2025-01-06,2.1,True,6,5.01,5.44
KNH,B-,2025-01-07,2.2,True,7,5.01,5.44
KNH,AB+,2025-01-01,5.5,True,1,4.31,4.73
KNH,AB+,2025-01-02,6.9,True,2,4.31,4.73
KNH,AB+,2025-01-03,6.5,True,3,4.31,4.73
KNH,AB+,2025-01-04,7.5,True,4,4.31,4.73
KNH,AB+,2025-01-05,7.0,True,5,4.31,4.73
KNH,AB+,2025-01-06,7.7,True,6,4.31,4.73
KNH,AB+,2025-01-07,7.3,True,7,4.31,4.73
KNH,AB-,2025-01-01,5.1,True,1,2.17,2.4
KNH,AB-,2025-01-02,5.4,True,2,2.17,2.4
KNH,AB-,2025-01-03,5.5,True,3,2.17,2.4
KNH,AB-,2025-01-04,5.6,True,4,2.17,2.4
KNH,AB-,2025-01-05,5.7,True,5,2.17,2.4
KNH,AB-,2025-01-06,5.8,True,6,2.17,2.4
KNH,AB-,2025-01-07,5.8,True,7,2.17,2.4
